ID,DrivingChildren,DOB,Age,HomeChildren,YearsOnJob,Income,SingleParent,HomeValue,MaritalStatus,Gender,Education,Occupation,TravelTime,CarUse,VehicleValue,TimeInForce,CarType,RedCar,TotalClaims5Years,ClaimsFrequency5Years,LicenseRevoked,VehiclePoints,ClaimsAmount,CarAge,ClaimsFlagCrash,CityPopulation
63581743,0,3/16/1939,60,0,11,67349,No,0,No,M,PhD,Professional,14,Private,14230,11,Minivan,Yes,4461,2,No,3,0,18,No,Urban
132761049,0,1/21/1956,43,0,11,91449,No,257252,No,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,Yes,0,0,No,0,0,1,No,Urban
921317019,0,11/18/1951,48,0,11,52881,No,0,No,M,Bachelors,Manager,26,Private,21970,1,Van,Yes,0,0,No,2,0,10,No,Urban
727598473,0,3/5/1964,35,1,10,16039,No,124191,Yes,F,High School,Clerical,5,Private,4010,4,SUV,No,38690,2,No,3,0,10,No,Urban
871024631,0,5/5/1965,34,1,12,125301,Yes,0,No,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,No,0,0,No,0,2946,7,Yes,Urban
792300541,0,2/28/1945,54,0,7,18755,No,0,Yes,F,High School,Blue Collar,33,Private,8780,1,SUV,No,0,0,No,0,0,1,No,Urban
7945239,1,9/17/1959,40,1,11,50815,Yes,0,No,M,High School,Manager,21,Private,18930,6,Minivan,No,3295,1,No,2,6477,1,Yes,Urban
3577610,0,8/21/1955,44,2,12,43486,Yes,0,No,F,High School,Blue Collar,30,Commercial,5900,10,SUV,No,0,0,No,0,0,10,No,Rural
892208080,1,12/14/1961,37,2,10,107961,No,333680,Yes,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,Yes,2374,1,Yes,10,4021,7,Yes,Urban
77382913,0,11/22/1964,34,0,10,62978,No,0,No,F,Bachelors,Clerical,34,Private,11200,1,SUV,No,0,0,No,0,2501,1,Yes,Urban
856886560,0,10/22/1949,50,0,7,106952,No,0,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,No,0,0,No,1,0,17,No,Rural
308455362,0,12/25/1945,53,0,14,77100,No,0,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,No,0,0,No,0,6077,11,Yes,Urban
989828809,0,6/19/1956,43,0,5,52642,No,209970,Yes,F,Masters,Professional,36,Private,22420,7,Minivan,No,0,0,No,0,0,1,No,Rural
